refFile;testFile;Mqs;Mcs;HRC;videoDegradationType;videoCodec;videoBitrate;packetLossRate;freezingPauses;freezingLength
v01;v01_ANC2;4.661666667;4;ANC2;frameFreezing;-;-;-;0;0
v01;v01_HRC10;4.18;4;HRC10;frameFreezing;H.264;16000;-;1;2
v01;v01_ANC1;4.0325;4.25;ANC1;packetLoss;-;-;-;-;-
v01;v01_HRC9;3.993333333;3.555555556;HRC9;frameFreezing;H.264;2000;-;2;4
v01;v01_HRC8;3.61;3.4;HRC8;frameFreezing;H.265;1000;-;2;4
v01;v01_HRC5;3.287142857;3.571428571;HRC5;packetLoss;H.265;8000;0.01;-;-
v01;v01_HRC4;2.965;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v01;v01_HRC7;2.663333333;3;HRC7;frameFreezing;H.264;800;-;3;7
v01;v01_HRC3;2.487142857;2.857142857;HRC3;packetLoss;H.264;2000;0.05;-;-
v01;v01_HRC6;2.46;3;HRC6;frameFreezing;H.265;200;-;3;8
v01;v01_HRC1;2.2225;4;HRC1;packetLoss;H.264;500;0.1;-;-
v01;v01_HRC2;1.906;3.6;HRC2;packetLoss;H.265;400;0.08;-;-
v02;v02_ANC2;4.62;3.25;ANC2;frameFreezing;-;-;-;0;0
v02;v02_HRC10;4.04125;3;HRC10;frameFreezing;H.264;16000;-;1;2
v02;v02_ANC1;3.884;3.4;ANC1;packetLoss;-;-;-;-;-
v02;v02_HRC9;3.663333333;3.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v02;v02_HRC5;3.57;3.666666667;HRC5;packetLoss;H.265;8000;0.01;-;-
v02;v02_HRC4;3.143333333;3.666666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v02;v02_HRC8;2.761818182;3.454545455;HRC8;frameFreezing;H.265;1000;-;2;4
v02;v02_HRC3;2.53;2.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v02;v02_HRC2;2.48;3;HRC2;packetLoss;H.265;400;0.08;-;-
v02;v02_HRC7;2.336666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v02;v02_HRC6;2.194285714;2.857142857;HRC6;frameFreezing;H.265;200;-;3;8
v02;v02_HRC1;2.14;4;HRC1;packetLoss;H.264;500;0.1;-;-
v03;v03_ANC2;4.6;4;ANC2;frameFreezing;-;-;-;0;0
v03;v03_HRC10;4.376666667;4.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v03;v03_ANC1;4.193;3.4;ANC1;packetLoss;-;-;-;-;-
v03;v03_HRC5;3.6;3.714285714;HRC5;packetLoss;H.265;8000;0.01;-;-
v03;v03_HRC9;3.48;3.2;HRC9;frameFreezing;H.264;2000;-;2;4
v03;v03_HRC8;3.06;3;HRC8;frameFreezing;H.265;1000;-;2;4
v03;v03_HRC3;2.768333333;3.833333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v03;v03_HRC4;2.741666667;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v03;v03_HRC1;2.436666667;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v03;v03_HRC2;2.156;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v03;v03_HRC7;2.095;4;HRC7;frameFreezing;H.264;800;-;3;7
v03;v03_HRC6;1.83;3;HRC6;frameFreezing;H.265;200;-;3;8
v04;v04_ANC1;4.92;5;ANC1;packetLoss;-;-;-;-;-
v04;v04_ANC2;4.643333333;4;ANC2;frameFreezing;-;-;-;0;0
v04;v04_HRC10;4.4225;3.25;HRC10;frameFreezing;H.264;16000;-;1;2
v04;v04_HRC5;3.443333333;4.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v04;v04_HRC8;3.206;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v04;v04_HRC3;2.795;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v04;v04_HRC7;2.643333333;3.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v04;v04_HRC4;2.6425;3.75;HRC4;packetLoss;H.265;1000;0.03;-;-
v04;v04_HRC9;2.582;3.4;HRC9;frameFreezing;H.264;2000;-;2;4
v04;v04_HRC1;1.8525;4;HRC1;packetLoss;H.264;500;0.1;-;-
v04;v04_HRC2;1.533333333;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v04;v04_HRC6;1.448888889;3.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v05;v05_ANC2;4.218181818;4;ANC2;frameFreezing;-;-;-;0;0
v05;v05_HRC10;4.19;4.5;HRC10;frameFreezing;H.264;16000;-;1;2
v05;v05_ANC1;4.162;3.6;ANC1;packetLoss;-;-;-;-;-
v05;v05_HRC5;3.212;3.6;HRC5;packetLoss;H.265;8000;0.01;-;-
v05;v05_HRC9;2.9075;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v05;v05_HRC4;2.71;3.8;HRC4;packetLoss;H.265;1000;0.03;-;-
v05;v05_HRC8;2.6425;4;HRC8;frameFreezing;H.265;1000;-;2;4
v05;v05_HRC7;2.605;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v05;v05_HRC2;1.923333333;3.833333333;HRC2;packetLoss;H.265;400;0.08;-;-
v05;v05_HRC1;1.92;3.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v05;v05_HRC3;1.89;3;HRC3;packetLoss;H.264;2000;0.05;-;-
v05;v05_HRC6;1.444;2;HRC6;frameFreezing;H.265;200;-;3;8
v06;v06_ANC2;4.77;4.333333333;ANC2;frameFreezing;-;-;-;0;0
v06;v06_HRC10;3.5775;3.5;HRC10;frameFreezing;H.264;16000;-;1;2
v06;v06_HRC9;3.55;5;HRC9;frameFreezing;H.264;2000;-;2;4
v06;v06_ANC1;3.47;3.2;ANC1;packetLoss;-;-;-;-;-
v06;v06_HRC4;3.14;2;HRC4;packetLoss;H.265;1000;0.03;-;-
v06;v06_HRC5;3.106666667;3;HRC5;packetLoss;H.265;8000;0.01;-;-
v06;v06_HRC8;2.92;3.2;HRC8;frameFreezing;H.265;1000;-;2;4
v06;v06_HRC6;2.89;4.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v06;v06_HRC3;2.6275;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v06;v06_HRC7;2.495555556;2.777777778;HRC7;frameFreezing;H.264;800;-;3;7
v06;v06_HRC1;2.25125;2.75;HRC1;packetLoss;H.264;500;0.1;-;-
v06;v06_HRC2;1.995454545;3.181818182;HRC2;packetLoss;H.265;400;0.08;-;-
v07;v07_ANC2;4.4;4;ANC2;frameFreezing;-;-;-;0;0
v07;v07_ANC1;4.241428571;3.285714286;ANC1;packetLoss;-;-;-;-;-
v07;v07_HRC10;4.033333333;3.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v07;v07_HRC5;3.285;3.75;HRC5;packetLoss;H.265;8000;0.01;-;-
v07;v07_HRC9;3.2825;3.25;HRC9;frameFreezing;H.264;2000;-;2;4
v07;v07_HRC8;3.111;2.5;HRC8;frameFreezing;H.265;1000;-;2;4
v07;v07_HRC3;2.746666667;3.333333333;HRC3;packetLoss;H.264;2000;0.05;-;-
v07;v07_HRC1;2.45;1.5;HRC1;packetLoss;H.264;500;0.1;-;-
v07;v07_HRC7;2.393333333;3;HRC7;frameFreezing;H.264;800;-;3;7
v07;v07_HRC4;2.06;2.714285714;HRC4;packetLoss;H.265;1000;0.03;-;-
v07;v07_HRC2;1.703333333;2.666666667;HRC2;packetLoss;H.265;400;0.08;-;-
v07;v07_HRC6;1.665;2.5;HRC6;frameFreezing;H.265;200;-;3;8
v08;v08_ANC1;4.75;2;ANC1;packetLoss;-;-;-;-;-
v08;v08_ANC2;4.502857143;2.571428571;ANC2;frameFreezing;-;-;-;0;0
v08;v08_HRC5;4.181428571;2.857142857;HRC5;packetLoss;H.265;8000;0.01;-;-
v08;v08_HRC10;3.544285714;3;HRC10;frameFreezing;H.264;16000;-;1;2
v08;v08_HRC8;3.345;2.75;HRC8;frameFreezing;H.265;1000;-;2;4
v08;v08_HRC9;3.154;3;HRC9;frameFreezing;H.264;2000;-;2;4
v08;v08_HRC4;2.912;3.6;HRC4;packetLoss;H.265;1000;0.03;-;-
v08;v08_HRC1;2.4225;3;HRC1;packetLoss;H.264;500;0.1;-;-
v08;v08_HRC7;2.323333333;2.444444444;HRC7;frameFreezing;H.264;800;-;3;7
v08;v08_HRC3;2.123333333;4;HRC3;packetLoss;H.264;2000;0.05;-;-
v08;v08_HRC2;1.77;2.75;HRC2;packetLoss;H.265;400;0.08;-;-
v08;v08_HRC6;1.59;1.8;HRC6;frameFreezing;H.265;200;-;3;8
v09;v09_ANC1;4.195;3.25;ANC1;packetLoss;-;-;-;-;-
v09;v09_HRC10;4.1875;3.75;HRC10;frameFreezing;H.264;16000;-;1;2
v09;v09_ANC2;4;4;ANC2;frameFreezing;-;-;-;0;0
v09;v09_HRC5;3.778;3.2;HRC5;packetLoss;H.265;8000;0.01;-;-
v09;v09_HRC9;3.28;3.363636364;HRC9;frameFreezing;H.264;2000;-;2;4
v09;v09_HRC4;3.175714286;3.285714286;HRC4;packetLoss;H.265;1000;0.03;-;-
v09;v09_HRC2;3.073333333;3;HRC2;packetLoss;H.265;400;0.08;-;-
v09;v09_HRC8;3.013333333;3.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v09;v09_HRC3;2.88375;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v09;v09_HRC7;2.806666667;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v09;v09_HRC1;2.755;4.5;HRC1;packetLoss;H.264;500;0.1;-;-
v09;v09_HRC6;2.455;3;HRC6;frameFreezing;H.265;200;-;3;8
v10;v10_ANC1;4.5725;3.5;ANC1;packetLoss;-;-;-;-;-
v10;v10_ANC2;4.546666667;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v10;v10_HRC10;4.14;3;HRC10;frameFreezing;H.264;16000;-;1;2
v10;v10_HRC8;3.735;4;HRC8;frameFreezing;H.265;1000;-;2;4
v10;v10_HRC5;3.673333333;4;HRC5;packetLoss;H.265;8000;0.01;-;-
v10;v10_HRC7;2.83;2;HRC7;frameFreezing;H.264;800;-;3;7
v10;v10_HRC9;2.774;3.8;HRC9;frameFreezing;H.264;2000;-;2;4
v10;v10_HRC4;2.37;3.777777778;HRC4;packetLoss;H.265;1000;0.03;-;-
v10;v10_HRC3;2.26;3.166666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v10;v10_HRC1;1.985;2875;HRC1;packetLoss;H.264;500;0.1;-;-
v10;v10_HRC6;1.444444444;2.888888889;HRC6;frameFreezing;H.265;200;-;3;8
v10;v10_HRC2;1.36;2.8;HRC2;packetLoss;H.265;400;0.08;-;-
v11;v11_ANC2;4.623333333;3.555555556;ANC2;frameFreezing;-;-;-;0;0
v11;v11_ANC1;4.47;4;ANC1;packetLoss;-;-;-;-;-
v11;v11_HRC5;4.47;2.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v11;v11_HRC10;3.875;3.5;HRC10;frameFreezing;H.264;16000;-;1;2
v11;v11_HRC4;2.894;3.2;HRC4;packetLoss;H.265;1000;0.03;-;-
v11;v11_HRC9;2.79;1;HRC9;frameFreezing;H.264;2000;-;2;4
v11;v11_HRC8;2.638571429;3.571428571;HRC8;frameFreezing;H.265;1000;-;2;4
v11;v11_HRC7;2.536666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v11;v11_HRC3;2.506;2.6;HRC3;packetLoss;H.264;2000;0.05;-;-
v11;v11_HRC2;2.118571429;2.857142857;HRC2;packetLoss;H.265;400;0.08;-;-
v11;v11_HRC6;1.794285714;2.285714286;HRC6;frameFreezing;H.265;200;-;3;8
v11;v11_HRC1;1.696;3.2;HRC1;packetLoss;H.264;500;0.1;-;-
v12;v12_ANC2;4.406666667;3.333333333;ANC2;frameFreezing;-;-;-;0;0
v12;v12_HRC10;3.61;3.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v12;v12_ANC1;3.596666667;2;ANC1;packetLoss;-;-;-;-;-
v12;v12_HRC3;3.188;2.6;HRC3;packetLoss;H.264;2000;0.05;-;-
v12;v12_HRC9;2.8025;2.75;HRC9;frameFreezing;H.264;2000;-;2;4
v12;v12_HRC5;2.686666667;3.333333333;HRC5;packetLoss;H.265;8000;0.01;-;-
v12;v12_HRC8;2.676666667;2.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v12;v12_HRC1;2.642;3.2;HRC1;packetLoss;H.264;500;0.1;-;-
v12;v12_HRC4;2.586666667;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v12;v12_HRC7;2.516666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v12;v12_HRC2;1.839;2.6;HRC2;packetLoss;H.265;400;0.08;-;-
v12;v12_HRC6;1.5075;3;HRC6;frameFreezing;H.265;200;-;3;8
v25;v25_ANC2;4.632;2.6;ANC2;frameFreezing;-;-;-;0;0
v25;v25_ANC1;4.612857143;2;ANC1;packetLoss;-;-;-;-;-
v25;v25_HRC10;4.06;3.166666667;HRC10;frameFreezing;H.264;16000;-;1;2
v25;v25_HRC5;3.876;2.8;HRC5;packetLoss;H.265;8000;0.01;-;-
v25;v25_HRC8;3.522857143;2.714285714;HRC8;frameFreezing;H.265;1000;-;2;4
v25;v25_HRC4;3.17;2.666666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v25;v25_HRC3;2.98;2;HRC3;packetLoss;H.264;2000;0.05;-;-
v25;v25_HRC1;2.616666667;1.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v25;v25_HRC9;2.496666667;2.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v25;v25_HRC7;2.428888889;2.222222222;HRC7;frameFreezing;H.264;800;-;3;7
v25;v25_HRC2;1.976666667;1.833333333;HRC2;packetLoss;H.265;400;0.08;-;-
v25;v25_HRC6;1.97;2.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v26;v26_ANC2;4.63375;3125;ANC2;frameFreezing;-;-;-;0;0
v26;v26_HRC10;4.271666667;4;HRC10;frameFreezing;H.264;16000;-;1;2
v26;v26_ANC1;4.13;3.333333333;ANC1;packetLoss;-;-;-;-;-
v26;v26_HRC9;3.59;2.8;HRC9;frameFreezing;H.264;2000;-;2;4
v26;v26_HRC5;3.0725;2.75;HRC5;packetLoss;H.265;8000;0.01;-;-
v26;v26_HRC8;2.905;3.5;HRC8;frameFreezing;H.265;1000;-;2;4
v26;v26_HRC4;2.806;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v26;v26_HRC7;2.35;3;HRC7;frameFreezing;H.264;800;-;3;7
v26;v26_HRC2;2.06375;3;HRC2;packetLoss;H.265;400;0.08;-;-
v26;v26_HRC3;1.7575;2875;HRC3;packetLoss;H.264;2000;0.05;-;-
v26;v26_HRC6;1.663333333;2;HRC6;frameFreezing;H.265;200;-;3;8
v26;v26_HRC1;1.493333333;2.333333333;HRC1;packetLoss;H.264;500;0.1;-;-
v27;v27_ANC1;4.85;3.333333333;ANC1;packetLoss;-;-;-;-;-
v27;v27_ANC2;4.586666667;4;ANC2;frameFreezing;-;-;-;0;0
v27;v27_HRC10;3.833333333;2.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v27;v27_HRC5;3.63;4.166666667;HRC5;packetLoss;H.265;8000;0.01;-;-
v27;v27_HRC4;2.715;4;HRC4;packetLoss;H.265;1000;0.03;-;-
v27;v27_HRC8;2.6975;4;HRC8;frameFreezing;H.265;1000;-;2;4
v27;v27_HRC9;2.491666667;3;HRC9;frameFreezing;H.264;2000;-;2;4
v27;v27_HRC7;2.45875;3625;HRC7;frameFreezing;H.264;800;-;3;7
v27;v27_HRC3;2.184;3.8;HRC3;packetLoss;H.264;2000;0.05;-;-
v27;v27_HRC1;1.8025;3;HRC1;packetLoss;H.264;500;0.1;-;-
v27;v27_HRC6;1.344285714;2.571428571;HRC6;frameFreezing;H.265;200;-;3;8
v27;v27_HRC2;1.275;3.2;HRC2;packetLoss;H.265;400;0.08;-;-
v28;v28_ANC2;4.57;4.2;ANC2;frameFreezing;-;-;-;0;0
v28;v28_ANC1;4.044;3.8;ANC1;packetLoss;-;-;-;-;-
v28;v28_HRC10;3.693333333;4;HRC10;frameFreezing;H.264;16000;-;1;2
v28;v28_HRC9;3.4325;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v28;v28_HRC5;3.43;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v28;v28_HRC8;2.82;2.833333333;HRC8;frameFreezing;H.265;1000;-;2;4
v28;v28_HRC2;2.38;3.166666667;HRC2;packetLoss;H.265;400;0.08;-;-
v28;v28_HRC7;2.13;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v28;v28_HRC1;2.087142857;2.857142857;HRC1;packetLoss;H.264;500;0.1;-;-
v28;v28_HRC4;2.04;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v28;v28_HRC3;1.875;3;HRC3;packetLoss;H.264;2000;0.05;-;-
v28;v28_HRC6;1.807777778;3;HRC6;frameFreezing;H.265;200;-;3;8
v29;v29_ANC1;4.497777778;3.555555556;ANC1;packetLoss;-;-;-;-;-
v29;v29_ANC2;4.392;3.8;ANC2;frameFreezing;-;-;-;0;0
v29;v29_HRC9;4.05;3.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v29;v29_HRC10;3.893333333;2.666666667;HRC10;frameFreezing;H.264;16000;-;1;2
v29;v29_HRC5;3.215;3.25;HRC5;packetLoss;H.265;8000;0.01;-;-
v29;v29_HRC8;3.1;3.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v29;v29_HRC7;2.806666667;2;HRC7;frameFreezing;H.264;800;-;3;7
v29;v29_HRC1;2.112857143;2.857142857;HRC1;packetLoss;H.264;500;0.1;-;-
v29;v29_HRC6;2.053333333;2.166666667;HRC6;frameFreezing;H.265;200;-;3;8
v29;v29_HRC4;2.035;2.75;HRC4;packetLoss;H.265;1000;0.03;-;-
v29;v29_HRC3;1.61;2.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v29;v29_HRC2;1.5075;2375;HRC2;packetLoss;H.265;400;0.08;-;-
v30;v30_ANC2;4.184;2.4;ANC2;frameFreezing;-;-;-;0;0
v30;v30_ANC1;3.876666667;3.5;ANC1;packetLoss;-;-;-;-;-
v30;v30_HRC10;3.5075;2875;HRC10;frameFreezing;H.264;16000;-;1;2
v30;v30_HRC9;3.29;3.2;HRC9;frameFreezing;H.264;2000;-;2;4
v30;v30_HRC5;2.9025;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v30;v30_HRC8;2.822;3.8;HRC8;frameFreezing;H.265;1000;-;2;4
v30;v30_HRC4;2.4325;2625;HRC4;packetLoss;H.265;1000;0.03;-;-
v30;v30_HRC7;2.345;3;HRC7;frameFreezing;H.264;800;-;3;7
v30;v30_HRC2;2.14;3;HRC2;packetLoss;H.265;400;0.08;-;-
v30;v30_HRC3;2.0775;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v30;v30_HRC6;2.028333333;3.333333333;HRC6;frameFreezing;H.265;200;-;3;8
v30;v30_HRC1;1.848571429;2.285714286;HRC1;packetLoss;H.264;500;0.1;-;-
v31;v31_ANC2;4.570909091;3.636363636;ANC2;frameFreezing;-;-;-;0;0
v31;v31_ANC1;4.336666667;3.5;ANC1;packetLoss;-;-;-;-;-
v31;v31_HRC10;4.0125;4;HRC10;frameFreezing;H.264;16000;-;1;2
v31;v31_HRC5;3.724;3.2;HRC5;packetLoss;H.265;8000;0.01;-;-
v31;v31_HRC9;3.655;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v31;v31_HRC4;2.97;4;HRC4;packetLoss;H.265;1000;0.03;-;-
v31;v31_HRC8;2.635;3;HRC8;frameFreezing;H.265;1000;-;2;4
v31;v31_HRC3;2.466666667;4;HRC3;packetLoss;H.264;2000;0.05;-;-
v31;v31_HRC6;2.362857143;3.142857143;HRC6;frameFreezing;H.265;200;-;3;8
v31;v31_HRC7;2.198;2.6;HRC7;frameFreezing;H.264;800;-;3;7
v31;v31_HRC2;2.19;3.25;HRC2;packetLoss;H.265;400;0.08;-;-
v31;v31_HRC1;1.918571429;3.285714286;HRC1;packetLoss;H.264;500;0.1;-;-
v32;v32_ANC2;4.835;4;ANC2;frameFreezing;-;-;-;0;0
v32;v32_ANC1;3.958;3;ANC1;packetLoss;-;-;-;-;-
v32;v32_HRC5;3.816666667;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v32;v32_HRC10;3.72;4;HRC10;frameFreezing;H.264;16000;-;1;2
v32;v32_HRC8;3.3475;3.25;HRC8;frameFreezing;H.265;1000;-;2;4
v32;v32_HRC4;2.99;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v32;v32_HRC9;2.606666667;3;HRC9;frameFreezing;H.264;2000;-;2;4
v32;v32_HRC7;2.456;3.1;HRC7;frameFreezing;H.264;800;-;3;7
v32;v32_HRC2;2.45;3;HRC2;packetLoss;H.265;400;0.08;-;-
v32;v32_HRC1;2.394;3;HRC1;packetLoss;H.264;500;0.1;-;-
v32;v32_HRC3;2.3475;3.25;HRC3;packetLoss;H.264;2000;0.05;-;-
v32;v32_HRC6;1.91;3.666666667;HRC6;frameFreezing;H.265;200;-;3;8
v33;v33_ANC1;4.398;3.6;ANC1;packetLoss;-;-;-;-;-
v33;v33_HRC10;4.045;2.7;HRC10;frameFreezing;H.264;16000;-;1;2
v33;v33_HRC8;3.06625;3125;HRC8;frameFreezing;H.265;1000;-;2;4
v33;v33_ANC2;3.001666667;3;ANC2;frameFreezing;-;-;-;0;0
v33;v33_HRC1;2.79;2.8;HRC1;packetLoss;H.264;500;0.1;-;-
v33;v33_HRC4;2.696666667;4.333333333;HRC4;packetLoss;H.265;1000;0.03;-;-
v33;v33_HRC5;2.4775;2.25;HRC5;packetLoss;H.265;8000;0.01;-;-
v33;v33_HRC7;2.4;2.8;HRC7;frameFreezing;H.264;800;-;3;7
v33;v33_HRC6;2.2725;3;HRC6;frameFreezing;H.265;200;-;3;8
v33;v33_HRC9;2.125;3;HRC9;frameFreezing;H.264;2000;-;2;4
